Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
1,0.7406036522441779,0.7006903993435942,0.5474,0.6692
2,0.6729987880673272,0.6494945297225977,0.754,0.7766
3,0.6407765056759405,0.6379063908284465,0.8108,0.7948
4,0.6252087558420322,0.6335128911387045,0.841,0.802
5,0.6170230452625897,0.6342624096443858,0.8568,0.7972
6,0.6146061736554764,0.6272208094596863,0.8612,0.8172
7,0.6101121633959273,0.6267537310862312,0.8738,0.819
8,0.6096971730073801,0.6288269472579224,0.8734,0.813
9,0.607056136329334,0.6276779329053129,0.8802,0.8162
10,0.6032979313177042,0.6257296073170134,0.8904,0.822
11,0.6025969420378201,0.6258091532384245,0.8924,0.8214
12,0.6008581302036493,0.6264903802460375,0.8978,0.8196
13,0.5987226488872077,0.6241635891576164,0.904,0.8258
14,0.5983115268972354,0.6230395464851453,0.9052,0.8288
15,0.5980252534055862,0.6234387448801401,0.9064,0.828
16,0.5958221575703484,0.6216721271935363,0.9124,0.8338
17,0.5954529281241444,0.6232496496206655,0.9134,0.8284
18,0.5962834771448812,0.6217751417297144,0.9106,0.8342
19,0.5948363782498783,0.6220943851592823,0.9156,0.8322
20,0.5915042200027564,0.6196442619680216,0.925,0.8404
21,0.5924008113507646,0.6248249908605703,0.9226,0.8244
22,0.5934147164463616,0.6189022359375755,0.9194,0.8418
23,0.5963528053448223,0.6233759143482,0.9108,0.828
24,0.5953769464843189,0.621148846019952,0.9134,0.8356
25,0.5920279835359737,0.6234592559238592,0.9236,0.8286
26,0.5929777909772465,0.6207082995210593,0.9206,0.8364
27,0.5930343660683678,0.6212974857217588,0.9206,0.8354
